id,city,team1,team2,winner
1088,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1089,Visakhapatnam,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
1090,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
1091,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
1092,Ahmedabad,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1093,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
1094,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings
1095,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1096,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1097,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
1098,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
1099,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals
1100,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians
1101,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru
1102,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
1103,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians
1104,Mumbai,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
1105,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
1106,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
1107,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
1108,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
1109,Mumbai,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
1110,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1111,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
1112,Raipur,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
1113,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1114,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
1115,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
1116,Raipur,Delhi Capitals,Chennai Super Kings,Delhi Capitals
1117,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
1118,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
1119,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1120,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1121,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
1122,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1123,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1124,Pune,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
1125,Ranchi,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
1126,Kolkata,Mumbai Indians,Chennai Super Kings,Mumbai Indians
1127,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
1128,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
1129,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
1130,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals
1131,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1132,Chandigarh,Punjab Kings,Defunct,Punjab Kings
1133,Bangalore,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
1134,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
1135,Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1136,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
1137,Rajkot,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
1138,Pune,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1139,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
1140,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
1141,Pune,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
1142,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians
1143,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
1144,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
1145,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
1146,Rajkot,Defunct,Punjab Kings,Punjab Kings
1147,Pune,Defunct,Mumbai Indians,Mumbai Indians
1148,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
1149,Rajkot,Defunct,Delhi Capitals,Delhi Capitals
1150,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
1151,Hyderabad,Sunrisers Hyderabad,Defunct,Sunrisers Hyderabad
