id,city,team1,team2,winner
345,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians
346,Mumbai,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
347,Kolkata,Rajasthan Royals,Gujarat Titans,Gujarat Titans
348,Kolkata,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru
349,Ahmedabad,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
350,Ahmedabad,Rajasthan Royals,Gujarat Titans,Gujarat Titans
351,Ahmedabad,Chennai Super Kings,Gujarat Titans,Gujarat Titans
352,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings
353,Lucknow,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants
354,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
355,Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
356,Chennai,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings
357,Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans
358,Guwahati,Punjab Kings,Rajasthan Royals,Punjab Kings
359,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
360,Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
361,Guwahati,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
362,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
363,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders
364,Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
365,Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants
366,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians
367,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
368,Chandigarh,Punjab Kings,Gujarat Titans,Gujarat Titans
369,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
370,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
371,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings
372,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
373,Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
374,Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
375,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
376,Jaipur,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants
377,Chandigarh,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
378,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
379,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
380,Lucknow,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
381,Mumbai,Punjab Kings,Mumbai Indians,Punjab Kings
382,Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
383,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
384,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
385,Ahmedabad,Gujarat Titans,Mumbai Indians,Gujarat Titans
386,Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
387,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
388,Chandigarh,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
389,Kolkata,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans
390,Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
391,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings
392,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians
393,Lucknow,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru
394,Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals
395,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians
396,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
397,Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans
398,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
399,Delhi,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
400,Ahmedabad,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
401,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
402,Kolkata,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
403,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
404,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
405,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
406,Mumbai,Mumbai Indians,Gujarat Titans,Mumbai Indians
407,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
408,Delhi,Punjab Kings,Delhi Capitals,Punjab Kings
409,Jaipur,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
410,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
411,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
412,Lucknow,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
413,Dharamsala,Delhi Capitals,Punjab Kings,Delhi Capitals
414,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru
415,Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals
416,Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
417,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
418,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
419,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
420,Chennai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
421,Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians
422,Ahmedabad,Gujarat Titans,Mumbai Indians,Gujarat Titans
423,Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings
424,Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
425,Mohali,Delhi Capitals,Punjab Kings,Punjab Kings
426,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
427,Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
428,Ahmedabad,Gujarat Titans,Mumbai Indians,Gujarat Titans
429,Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
430,Chennai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
431,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
432,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
433,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
434,Lucknow,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
435,Ahmedabad,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
436,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Delhi Capitals
437,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
438,Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants
439,Visakhapatnam,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
440,Ahmedabad,Gujarat Titans,Punjab Kings,Punjab Kings
441,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
442,Jaipur,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
443,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
444,Lucknow,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants
445,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
446,Mohali,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
447,Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans
448,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
449,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
450,Mohali,Punjab Kings,Rajasthan Royals,Rajasthan Royals
451,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders
452,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
453,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
454,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
455,Ahmedabad,Gujarat Titans,Delhi Capitals,Delhi Capitals
456,Mohali,Mumbai Indians,Punjab Kings,Mumbai Indians
457,Lucknow,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
458,Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
459,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
460,Mohali,Punjab Kings,Gujarat Titans,Gujarat Titans
461,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
462,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
463,Delhi,Delhi Capitals,Gujarat Titans,Delhi Capitals
464,Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
465,Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings
466,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
467,Lucknow,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals
468,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
469,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
470,Kolkata,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
471,Lucknow,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants
472,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings
473,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
474,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
475,Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
476,Dharamsala,Chennai Super Kings,Punjab Kings,Chennai Super Kings
477,Lucknow,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders
478,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
479,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
480,Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
481,Dharamsala,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
482,Ahmedabad,Gujarat Titans,Chennai Super Kings,Gujarat Titans
483,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
484,Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
485,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
486,Delhi,Delhi Capitals,Lucknow Super Giants,Delhi Capitals
487,Guwahati,Rajasthan Royals,Punjab Kings,Punjab Kings
488,Mumbai,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
489,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
490,Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
491,Ahmedabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
492,Ahmedabad,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
493,Chennai,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
494,Chennai,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
495,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
496,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
497,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
498,Visakhapatnam,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
499,Ahmedabad,Punjab Kings,Gujarat Titans,Punjab Kings
500,Guwahati,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
501,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
502,Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
503,Ahmedabad,Gujarat Titans,Mumbai Indians,Gujarat Titans
504,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
505,Guwahati,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
506,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
507,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings
508,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
509,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
510,Lucknow,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
511,Chennai,Delhi Capitals,Chennai Super Kings,Delhi Capitals
512,Mohali,Rajasthan Royals,Punjab Kings,Rajasthan Royals
513,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
514,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
515,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
516,Mohali,Punjab Kings,Chennai Super Kings,Punjab Kings
517,Ahmedabad,Gujarat Titans,Rajasthan Royals,Gujarat Titans
518,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
519,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
520,Lucknow,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants
521,Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
522,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
523,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians
524,Lucknow,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
525,Mohali,Punjab Kings,Kolkata Knight Riders,Punjab Kings
526,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
527,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
528,Ahmedabad,Delhi Capitals,Gujarat Titans,Gujarat Titans
529,Jaipur,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants
530,Mohali,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
531,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
532,Kolkata,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans
533,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
534,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
535,Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
536,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
537,Mumbai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians
538,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
539,Jaipur,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
540,Delhi,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
541,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings
542,Jaipur,Mumbai Indians,Rajasthan Royals,Mumbai Indians
543,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
544,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
545,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
546,Dharamsala,Punjab Kings,Lucknow Super Giants,Punjab Kings
547,Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans
548,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
549,Jaipur,Punjab Kings,Rajasthan Royals,Punjab Kings
550,Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans
551,Lucknow,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
552,Delhi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
553,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
554,Ahmedabad,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants
555,Lucknow,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
556,Ahmedabad,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
557,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
558,Jaipur,Mumbai Indians,Punjab Kings,Punjab Kings
559,Lucknow,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru
560,New Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
561,New Chandigarh,Mumbai Indians,Gujarat Titans,Mumbai Indians
562,Ahmedabad,Mumbai Indians,Punjab Kings,Punjab Kings
563,Ahmedabad,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
564,Jaipur,Punjab Kings,Delhi Capitals,Delhi Capitals
565,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru
566,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
567,Guwahati,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
568,New Chandigarh,Gujarat Titans,Punjab Kings,Punjab Kings
569,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
570,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
571,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings
572,Delhi,Mumbai Indians,Delhi Capitals,Delhi Capitals
573,Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals
574,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
575,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
576,Guwahati,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
577,Delhi,Gujarat Titans,Delhi Capitals,Gujarat Titans
578,Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants
579,Guwahati,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
580,New Chandigarh,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
581,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
582,Lucknow,Lucknow Super Giants,Gujarat Titans,Gujarat Titans
583,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
584,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
585,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
586,Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru
587,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
588,Ahmedabad,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans
589,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
590,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
591,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
592,New Chandigarh,Punjab Kings,Lucknow Super Giants,Punjab Kings
593,Ahmedabad,Mumbai Indians,Gujarat Titans,Mumbai Indians
594,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
595,Lucknow,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
596,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
597,Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
598,Delhi,Delhi Capitals,Punjab Kings,Punjab Kings
599,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
600,Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans
601,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
602,New Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals
603,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
604,Ahmedabad,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
605,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals
606,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
607,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
608,Ahmedabad,Punjab Kings,Gujarat Titans,Gujarat Titans
609,Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians
610,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
611,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
612,Lucknow,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants
613,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
614,Jaipur,Gujarat Titans,Rajasthan Royals,Gujarat Titans
615,Chennai,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
616,Raipur,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
617,Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals
618,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
619,Raipur,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
620,Dharamsala,Punjab Kings,Mumbai Indians,Mumbai Indians
621,Lucknow,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
622,Kolkata,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders
623,Dharamsala,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
624,Delhi,Rajasthan Royals,Delhi Capitals,Delhi Capitals
625,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
626,Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals
627,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
628,Ahmedabad,Gujarat Titans,Chennai Super Kings,Gujarat Titans
629,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
630,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings
631,Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
632,Kolkata,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
633,Dharamsala,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru
634,New Chandigarh,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
635,New Chandigarh,Rajasthan Royals,Gujarat Titans,Gujarat Titans
636,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
637,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
638,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings
639,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
640,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
641,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
642,Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals
643,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
644,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
645,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
646,Chandigarh,Punjab Kings,Mumbai Indians,Punjab Kings
647,Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
648,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
649,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
650,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
651,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
652,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
653,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals
654,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
655,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
656,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals
657,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru
658,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings
659,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
660,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
661,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
662,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
663,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians
664,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
665,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
666,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
667,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
668,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings
669,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
670,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
671,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
672,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
673,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians
674,Chandigarh,Punjab Kings,Rajasthan Royals,Punjab Kings
675,Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
676,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
677,Delhi,Delhi Capitals,Punjab Kings,Punjab Kings
678,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
679,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
680,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
681,Bangalore,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
682,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
683,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
684,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
685,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
686,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
687,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
688,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
689,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
690,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
691,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
692,Mumbai,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
693,Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings
694,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
695,Cape Town,Chennai Super Kings,Mumbai Indians,Mumbai Indians
